model,real,fake,accuracy,roc_auc_score,log_loss
Exploiting-Visual-Artifacts/dfgc2021_gan,real_fulls,seanseattle_853068,0.4895,0.4773845,1.0361466207717909
Exploiting-Visual-Artifacts/dfgc2021_gan,real_fulls,DFischerHDA_852673,0.549,0.5824845000000001,0.965830269452794
Exploiting-Visual-Artifacts/dfgc2021_gan,real_fulls,DFGC_SYSU_852924,0.5065,0.512792,1.0111162864351635
Exploiting-Visual-Artifacts/dfgc2021_gan,real_fulls,fake_baseline,0.52,0.5313785,0.9994267058723346
Exploiting-Visual-Artifacts/dfgc2021_gan,real_fulls,zhaobh_852336,0.477,0.4882835,1.0236252726764632
Exploiting-Visual-Artifacts/dfgc2021_gan,real_fulls,lowtec_853184,0.447,0.41787099999999994,1.0725112348255945
Exploiting-Visual-Artifacts/dfgc2021_gan,real_fulls,yZzzzzz_849853,0.5185,0.536374,0.9999105994645886
Exploiting-Visual-Artifacts/dfgc2021_gan,real_fulls,jerryHUST_853638,0.5065,0.509228,1.013034787174465
Exploiting-Visual-Artifacts/dfgc2021_gan,real_fulls,zz110_853170,0.4105,0.3845375,1.089412298541501
Exploiting-Visual-Artifacts/dfgc2021_gan,real_fulls,wany_853175,0.492,0.509323,1.0054622631732928
Exploiting-Visual-Artifacts/dfgc2021_gan,real_fulls,ctmiu_853213,0.4355,0.4128335,1.075640337049027
Exploiting-Visual-Artifacts/dfgc2021_face2face,real_fulls,smartz_849705,0.457,0.386826,1.3185368263519677
Exploiting-Visual-Artifacts/dfgc2021_face2face,real_fulls,joshhu_853266,0.546,0.6171340000000001,1.192561193182016
Exploiting-Visual-Artifacts/dfgc2021_face2face,real_fulls,yuejiang_852934,0.4695,0.40209999999999996,1.2981567882866516
Exploiting-Visual-Artifacts/dfgc2021_face2face,real_fulls,yangquanwei_852303,0.4715,0.42461,1.2962294724745966
Exploiting-Visual-Artifacts/dfgc2021_face2face,real_fulls,miaotao_853000,0.5575,0.587909,1.1907126633033183
Exploiting-Visual-Artifacts/dfgc2021_face2face,real_fulls,nbhh_853436,0.562,0.718814,1.1572737813910023
Exploiting-Visual-Artifacts/dfgc2021_face2face,real_fulls,seanseattle_853068,0.5365,0.571332,1.2129878957540612
Exploiting-Visual-Artifacts/dfgc2021_face2face,real_fulls,DFischerHDA_852673,0.4675,0.380326,1.3126290467510215
Exploiting-Visual-Artifacts/dfgc2021_face2face,real_fulls,DFGC_SYSU_852924,0.558,0.676258,1.1684250325761065
Exploiting-Visual-Artifacts/dfgc2021_face2face,real_fulls,fake_baseline,0.491,0.445544,1.2725426714355663
Exploiting-Visual-Artifacts/dfgc2021_face2face,real_fulls,zhaobh_852336,0.492,0.396435,1.2866692176231975
Exploiting-Visual-Artifacts/dfgc2021_face2face,real_fulls,lowtec_853184,0.5295,0.56391,1.2178634471292609
Exploiting-Visual-Artifacts/dfgc2021_face2face,real_fulls,yZzzzzz_849853,0.485,0.384342,1.2915670987783112
Exploiting-Visual-Artifacts/dfgc2021_face2face,real_fulls,jerryHUST_853638,0.5375,0.5463480000000001,1.2190193209297766
Exploiting-Visual-Artifacts/dfgc2021_face2face,real_fulls,zz110_853170,0.492,0.45264499999999996,1.2744643185863793
Exploiting-Visual-Artifacts/dfgc2021_face2face,real_fulls,wany_853175,0.4285,0.25543400000000005,1.3669186006143
Exploiting-Visual-Artifacts/dfgc2021_face2face,real_fulls,ctmiu_853213,0.5435,0.573675,1.2046906880606714
Exploiting-Visual-Artifacts/dfgc2021_deepfake,real_fulls,smartz_849705,0.571,0.597891,13.246808780191941
